image_path,xmin,ymin,xmax,ymax,class
LineCharts/2_line_0.png,96,858,763,782,XAxisbbox
LineCharts/2_line_0.png,-23,788,93,95,YAxisbbox
LineCharts/2_line_0.png,270,567,394,516,Legendbbox
LineCharts/2_line_1.png,97,1052,758,782,XAxisbbox
LineCharts/2_line_1.png,10,753,93,126,YAxisbbox
LineCharts/2_line_1.png,422,578,608,512,Legendbbox
LineCharts/5_line_2.png,85,878,774,782,XAxisbbox
LineCharts/5_line_2.png,-27,745,93,126,YAxisbbox
LineCharts/5_line_2.png,285,361,502,204,Legendbbox
LineCharts/3_line_3.png,96,904,765,782,XAxisbbox
LineCharts/3_line_3.png,-28,768,93,126,YAxisbbox
LineCharts/3_line_3.png,462,352,711,248,Legendbbox
LineCharts/2_line_4.png,85,955,775,782,XAxisbbox
LineCharts/2_line_4.png,12,750,145,81,YAxisbbox
LineCharts/2_line_4.png,193,370,344,303,Legendbbox
LineCharts/4_line_5.png,89,981,771,782,XAxisbbox
LineCharts/4_line_5.png,21,805,93,121,YAxisbbox
LineCharts/4_line_5.png,330,408,565,292,Legendbbox
LineCharts/5_line_6.png,97,910,787,782,XAxisbbox
LineCharts/5_line_6.png,18,805,93,117,YAxisbbox
LineCharts/5_line_6.png,513,577,709,433,Legendbbox
LineCharts/3_line_7.png,89,1006,770,782,XAxisbbox
LineCharts/3_line_7.png,-38,747,93,126,YAxisbbox
LineCharts/3_line_7.png,475,566,713,469,Legendbbox
LineCharts/4_line_8.png,101,847,758,782,XAxisbbox
LineCharts/4_line_8.png,-38,784,93,126,YAxisbbox
LineCharts/4_line_8.png,522,321,768,205,Legendbbox
LineCharts/3_line_9.png,85,989,776,782,XAxisbbox
LineCharts/3_line_9.png,25,781,93,117,YAxisbbox
LineCharts/3_line_9.png,363,341,575,236,Legendbbox
LineCharts/5_line_10.png,96,1037,764,782,XAxisbbox
LineCharts/5_line_10.png,-34,757,93,126,YAxisbbox
LineCharts/5_line_10.png,186,457,401,288,Legendbbox
LineCharts/4_line_11.png,80,944,776,782,XAxisbbox
LineCharts/4_line_11.png,7,767,93,126,YAxisbbox
LineCharts/4_line_11.png,381,475,624,348,Legendbbox
LineCharts/4_line_12.png,97,839,787,782,XAxisbbox
LineCharts/4_line_12.png,-23,781,93,95,YAxisbbox
LineCharts/4_line_12.png,274,609,508,450,Legendbbox
LineCharts/4_line_13.png,85,943,775,782,XAxisbbox
LineCharts/4_line_13.png,11,792,93,95,YAxisbbox
LineCharts/4_line_13.png,475,374,864,215,Legendbbox
LineCharts/5_line_14.png,85,994,775,782,XAxisbbox
LineCharts/5_line_14.png,21,743,93,126,YAxisbbox
LineCharts/5_line_14.png,431,397,692,200,Legendbbox
LineCharts/4_line_15.png,89,905,769,782,XAxisbbox
LineCharts/4_line_15.png,-17,805,93,119,YAxisbbox
LineCharts/4_line_15.png,371,534,679,375,Legendbbox
LineCharts/2_line_16.png,97,992,758,782,XAxisbbox
LineCharts/2_line_16.png,18,743,93,126,YAxisbbox
LineCharts/2_line_16.png,237,337,488,265,Legendbbox
LineCharts/2_line_17.png,97,983,758,782,XAxisbbox
LineCharts/2_line_17.png,4,791,93,95,YAxisbbox
LineCharts/2_line_17.png,245,608,357,561,Legendbbox
LineCharts/5_line_18.png,97,910,759,782,XAxisbbox
LineCharts/5_line_18.png,12,815,93,95,YAxisbbox
LineCharts/5_line_18.png,313,568,609,371,Legendbbox
LineCharts/2_line_19.png,80,948,804,782,XAxisbbox
LineCharts/2_line_19.png,0,792,93,124,YAxisbbox
LineCharts/2_line_19.png,501,485,645,419,Legendbbox
LineCharts/3_line_20.png,85,902,774,782,XAxisbbox
LineCharts/3_line_20.png,31,755,93,126,YAxisbbox
LineCharts/3_line_20.png,418,612,633,524,Legendbbox
LineCharts/4_line_21.png,85,868,774,782,XAxisbbox
LineCharts/4_line_21.png,6,806,93,122,YAxisbbox
LineCharts/4_line_21.png,575,458,842,331,Legendbbox
LineCharts/2_line_22.png,97,895,757,782,XAxisbbox
LineCharts/2_line_22.png,9,756,93,126,YAxisbbox
LineCharts/2_line_22.png,314,565,495,518,Legendbbox
LineCharts/3_line_23.png,89,986,768,782,XAxisbbox
LineCharts/3_line_23.png,-29,805,93,118,YAxisbbox
LineCharts/3_line_23.png,395,529,577,440,Legendbbox
LineCharts/2_line_24.png,89,1044,769,782,XAxisbbox
LineCharts/2_line_24.png,-27,790,93,95,YAxisbbox
LineCharts/2_line_24.png,196,368,315,321,Legendbbox
LineCharts/5_line_25.png,97,932,766,782,XAxisbbox
LineCharts/5_line_25.png,-32,743,93,126,YAxisbbox
LineCharts/5_line_25.png,205,425,469,268,Legendbbox
LineCharts/2_line_26.png,85,837,776,782,XAxisbbox
LineCharts/2_line_26.png,23,768,93,126,YAxisbbox
LineCharts/2_line_26.png,349,357,463,310,Legendbbox
LineCharts/5_line_27.png,97,840,787,782,XAxisbbox
LineCharts/5_line_27.png,-35,817,93,95,YAxisbbox
LineCharts/5_line_27.png,228,312,446,115,Legendbbox
LineCharts/4_line_28.png,80,956,780,782,XAxisbbox
LineCharts/4_line_28.png,17,751,93,126,YAxisbbox
LineCharts/4_line_28.png,207,410,498,273,Legendbbox
LineCharts/4_line_29.png,85,946,776,782,XAxisbbox
LineCharts/4_line_29.png,-9,755,93,95,YAxisbbox
LineCharts/4_line_29.png,486,434,677,317,Legendbbox
LineCharts/4_line_30.png,85,912,776,782,XAxisbbox
LineCharts/4_line_30.png,-42,745,93,126,YAxisbbox
LineCharts/4_line_30.png,432,281,614,165,Legendbbox
LineCharts/5_line_31.png,85,971,775,782,XAxisbbox
LineCharts/5_line_31.png,-9,743,93,126,YAxisbbox
LineCharts/5_line_31.png,445,465,713,268,Legendbbox
LineCharts/5_line_32.png,97,1011,758,782,XAxisbbox
LineCharts/5_line_32.png,-28,756,93,126,YAxisbbox
LineCharts/5_line_32.png,536,547,724,436,Legendbbox
LineCharts/5_line_33.png,97,877,757,782,XAxisbbox
LineCharts/5_line_33.png,18,787,145,81,YAxisbbox
LineCharts/5_line_33.png,383,341,584,223,Legendbbox
LineCharts/4_line_34.png,97,901,757,782,XAxisbbox
LineCharts/4_line_34.png,-19,750,93,126,YAxisbbox
LineCharts/4_line_34.png,546,593,843,434,Legendbbox
LineCharts/3_line_35.png,97,1043,759,782,XAxisbbox
LineCharts/3_line_35.png,-7,805,93,121,YAxisbbox
LineCharts/3_line_35.png,416,313,711,193,Legendbbox
LineCharts/4_line_36.png,97,1028,759,782,XAxisbbox
LineCharts/4_line_36.png,-8,753,93,125,YAxisbbox
LineCharts/4_line_36.png,418,600,656,473,Legendbbox
LineCharts/3_line_37.png,85,839,774,782,XAxisbbox
LineCharts/3_line_37.png,0,743,93,126,YAxisbbox
LineCharts/3_line_37.png,396,583,554,495,Legendbbox
LineCharts/3_line_38.png,79,921,806,782,XAxisbbox
LineCharts/3_line_38.png,-18,743,93,126,YAxisbbox
LineCharts/3_line_38.png,303,476,594,355,Legendbbox
LineCharts/2_line_39.png,97,868,761,782,XAxisbbox
LineCharts/2_line_39.png,-26,768,93,126,YAxisbbox
LineCharts/2_line_39.png,571,599,790,515,Legendbbox
LineCharts/2_line_40.png,96,962,763,782,XAxisbbox
LineCharts/2_line_40.png,-15,753,93,126,YAxisbbox
LineCharts/2_line_40.png,474,464,641,403,Legendbbox
LineCharts/2_line_41.png,101,899,759,782,XAxisbbox
LineCharts/2_line_41.png,-27,756,93,126,YAxisbbox
LineCharts/2_line_41.png,195,383,426,334,Legendbbox
LineCharts/4_line_42.png,97,973,760,782,XAxisbbox
LineCharts/4_line_42.png,20,789,93,95,YAxisbbox
LineCharts/4_line_42.png,216,516,336,426,Legendbbox
LineCharts/4_line_43.png,85,1010,775,782,XAxisbbox
LineCharts/4_line_43.png,-25,788,93,95,YAxisbbox
LineCharts/4_line_43.png,373,598,571,504,Legendbbox
LineCharts/2_line_44.png,97,903,758,782,XAxisbbox
LineCharts/2_line_44.png,18,797,93,121,YAxisbbox
LineCharts/2_line_44.png,326,524,530,452,Legendbbox
LineCharts/2_line_45.png,97,845,758,782,XAxisbbox
LineCharts/2_line_45.png,13,759,93,95,YAxisbbox
LineCharts/2_line_45.png,237,342,430,275,Legendbbox
LineCharts/4_line_46.png,97,1001,757,782,XAxisbbox
LineCharts/4_line_46.png,-29,806,93,121,YAxisbbox
LineCharts/4_line_46.png,459,597,685,481,Legendbbox
LineCharts/5_line_47.png,97,1027,757,782,XAxisbbox
LineCharts/5_line_47.png,-8,785,145,81,YAxisbbox
LineCharts/5_line_47.png,568,450,866,280,Legendbbox
LineCharts/3_line_48.png,97,926,758,782,XAxisbbox
LineCharts/3_line_48.png,0,766,93,126,YAxisbbox
LineCharts/3_line_48.png,210,325,365,253,Legendbbox
LineCharts/2_line_49.png,80,837,804,782,XAxisbbox
LineCharts/2_line_49.png,30,743,93,126,YAxisbbox
LineCharts/2_line_49.png,357,439,543,373,Legendbbox
LineCharts/3_line_50.png,92,1030,793,782,XAxisbbox
LineCharts/3_line_50.png,37,777,93,126,YAxisbbox
LineCharts/3_line_50.png,511,520,642,452,Legendbbox
LineCharts/4_line_51.png,96,927,763,782,XAxisbbox
LineCharts/4_line_51.png,-2,805,93,122,YAxisbbox
LineCharts/4_line_51.png,415,285,577,169,Legendbbox
LineCharts/3_line_52.png,97,884,757,782,XAxisbbox
LineCharts/3_line_52.png,20,806,93,121,YAxisbbox
LineCharts/3_line_52.png,467,521,658,449,Legendbbox
LineCharts/5_line_53.png,96,837,764,782,XAxisbbox
LineCharts/5_line_53.png,-13,753,93,126,YAxisbbox
LineCharts/5_line_53.png,292,311,447,216,Legendbbox
LineCharts/2_line_54.png,97,877,787,782,XAxisbbox
LineCharts/2_line_54.png,19,780,93,126,YAxisbbox
LineCharts/2_line_54.png,295,603,481,543,Legendbbox
LineCharts/5_line_55.png,85,856,775,782,XAxisbbox
LineCharts/5_line_55.png,-9,746,93,126,YAxisbbox
LineCharts/5_line_55.png,372,431,580,274,Legendbbox
LineCharts/5_line_56.png,97,1012,787,782,XAxisbbox
LineCharts/5_line_56.png,-43,794,93,95,YAxisbbox
LineCharts/5_line_56.png,577,388,819,231,Legendbbox
LineCharts/5_line_57.png,97,1053,762,782,XAxisbbox
LineCharts/5_line_57.png,-13,787,145,81,YAxisbbox
LineCharts/5_line_57.png,373,317,658,120,Legendbbox
LineCharts/4_line_58.png,97,867,758,782,XAxisbbox
